page #,job_title,url,companies,requirements,location
4,Accounts Clerk / Senior Accounts Clerk,https://hk.jobsdb.com/hk/en/job/accounts-clerk-senior-accounts-clerk-100003006826687,Ever Gain Engineering Limited,Senior Accounts ClerkPerform bank reconciliation and other daily accounHolder of LCC Level 3 Accounting Certificate,Kwun Tong
4,Accounting Clerk (eco Park),https://hk.jobsdb.com/hk/en/job/accounting-clerk-100003006826671,ALBA Integrated Waste Solutions (Hong Kong) Limited,"Accounting Clerkaccounting duties, preparing spreadsheet & journalhandling full sets of accounts",Kwun Tong
4,Accounting Officer,https://hk.jobsdb.com/hk/en/job/accounting-officer-100003006826654,Champion Eye Centre,To handle full set of accountsTo reconcile inter-company balancesImmediate available is highly preferred.,Kwun Tong
4,Accounts & Admin Clerk / Finance & Administration Executive (13k/5 Days/fresh Grad. Ok!),https://hk.jobsdb.com/hk/en/job/accounts-admin-clerk-finance-administration-executive-100003006826645,CA Human Resource Limited,"Finance & Admin positionIncentive + Bonus offered, Annual Leave 14 DaysFresh graduate is greatly welcomed",Kwun Tong
4,"Fp&a Manager (international Pharmaceutical Company, Up To 50k)",https://hk.jobsdb.com/hk/en/job/financial-planning-and-analysis-manager-100003006826619,Michael Page,Multinational working environmentAttractive Remuneration PackageGood brand reputation,Kwun Tong
4,Head Of Finance ( Investment Banking ),https://hk.jobsdb.com/hk/en/job/head-of-finance-100003006826617,"JAC Recruitment Hong Kong Co., Limited",finance management sfcsecurities brokeageaccounting,Kwun Tong
4,"Audit Assistant/trainee (up To 14k, Fresh Grad Welcome, Medical) - Ref. 1498",https://hk.jobsdb.com/hk/en/job/audit-assistant-trainee-100003006826609,KEK Consultancy Company Limited,"Up to 14K, medical, study & exam leaveFresh grad are welcomeBasic knowledge in Accounting/ Audit",Kwun Tong
4,Assistant Accountant/account Clerk,https://hk.jobsdb.com/hk/en/job/assistant-accountant-account-clerk-100003006826596,Megacap S.A. Limited,Perform daily general accounting dutiesGeneral accounting knowledge;5 working days;,Kwun Tong
4,"Manager, Cost Management",https://hk.jobsdb.com/hk/en/job/manager-cost-management-100003006826598,China Construction Bank (Asia) Corporation Limited,"experience in cost management /financial planningBanking or other financial related industriesBachelor Degree in Accounting, Finance, Business",Kwun Tong
4,Tax & Rrp Administrator (2 Month Contract),https://hk.jobsdb.com/hk/en/job/tax-rrp-administrator-100003006826594,Manpower Services (Hong Kong) Limited,2 months contract5 days work in Sheung Wan16 – 18k depends on experience,Kwun Tong
4,Accounts Clerk,https://hk.jobsdb.com/hk/en/job/accounts-clerk-100003006826541,Savills Management Services Limited,Higher Diploma holder or above in AccountingFresh Accounting Graduates are welcomeProficient in MS Office applications,Kwun Tong
4,Assistant Accountant (fresh Graduates & Auditor Welcome),https://hk.jobsdb.com/hk/en/job/assistant-accountant-100003006826539,Hawksford Corporate Services Hong Kong Limited,5 days work week with Double payFull Set of AccountingWelcome fresh graduates,Kwun Tong
4,Assistant Financial Controller,https://hk.jobsdb.com/hk/en/job/assistant-financial-controller-100003006826532,Company Confidential,"Lead a team & report to Chairman & DirectorsDegree in Accounting/Finance, with CPA/ACCA10 yrs+ exp. in manufacturing/professional firms",Kwun Tong
4,"Officer, Finance (financial Control) (for A 6-month Contract)",https://hk.jobsdb.com/hk/en/job/officer-finance-100003006826508,Hong Kong Exchanges and Clearing Limited,See job description.See job description.See job description.,Kwun Tong
4,Account Clerk,https://hk.jobsdb.com/hk/en/job/account-clerk-100003006825808,JPG Secretarial Services Limited,Tertiary education in accountingMinimum 1 year experience in accounting fieldImmediate availability is highly preferred,Kwun Tong
